product-name,url,description
Puma Unisex-Adult Smashic Casual Shoe,https://m.media-amazon.com/images/I/51MiYR1te6L._SY695_.jpg,"Labels: 'Shoe', 'Walking shoe', 'Grey', 'Sportswear', 'Sneakers', 'Font', 'Athletic shoe', 'Electric blue', 'Outdoor shoe', 'Carmine', Texts: 'PUMA', 'PUMA', Logos: 'Puma', 'Puma', 'Puma', Objects: 'Shoe'"
NIKE Womens W Revolution 7 Running Shoe,https://m.media-amazon.com/images/I/71cy1dbMh5L._SX695_.jpg,"Labels: 'Footwear', 'Shoe', 'Product', 'Walking shoe', 'Sneakers', 'Grey', 'Sportswear', 'Font', 'Electric blue', 'Athletic shoe', Texts: , Logos: 'Nike', Objects: 'Shoe'"
Sparx Men's Sc0162g Sneakers,https://m.media-amazon.com/images/I/71xWtLhH2GL._SX695_.jpg,"Labels: 'Footwear', 'Shoe', 'Product', 'Walking shoe', 'Grey', 'Sportswear', 'Sneakers', 'Outdoor shoe', 'Skate shoe', 'Font', Texts: , Logos: , Objects: 'Shoe', 'Shoe'"
Puma Womens Kendall WNS Running Shoe,https://m.media-amazon.com/images/I/61C+Y9zoAQL._SY695_.jpg,"Labels: 'Footwear', 'Shoe', 'Outdoor shoe', 'Walking shoe', 'Sportswear', 'Cleat', 'Sneakers', 'Font', 'Magenta', 'Skate shoe', Texts: , Logos: 'Puma', Objects: 'Shoe'"
Nivia Men's Combat 2.0 Basketball Shoes,https://m.media-amazon.com/images/I/71YG7EClYfL._SX679_.jpg,"Labels: 'Footwear', 'Shoe', 'Outdoor shoe', 'Walking shoe', 'Grey', 'Font', 'Sportswear', 'Sneakers', 'Athletic shoe', 'Electric blue', Texts: 'NIV', 'NIV', Logos: 'Nivia Sports', Objects: 'Shoe'"
adidas Mens Amalgo M Running Shoe,https://m.media-amazon.com/images/I/81ATe15IyHL._SX695_.jpg,"Labels: 'Footwear', 'Shoe', 'Walking shoe', 'Outdoor shoe', 'Grey', 'Sneakers', 'Sportswear', 'Font', 'Athletic shoe', 'Pattern', Texts: , Logos: 'Adidas', Objects: 'Shoe'"
Red Tape Casual Sneaker Shoes for Men,https://m.media-amazon.com/images/I/61OBcY37KXL._SY695_.jpg,"Labels: 'Footwear', 'Outdoor shoe', 'Walking shoe', 'Sportswear', 'Sneakers', 'Font', 'Athletic shoe', 'Cross training shoe', 'Electric blue', 'Running shoe', Texts: 'REDTAPE\nCLASSIC', 'REDTAPE', 'CLASSIC', Logos: , Objects: 'Shoe'"
Bata Mens MaxUniform Dress Shoe,https://m.media-amazon.com/images/I/710+f7XX2FL._SY695_.jpg,"Labels: 'Brown', 'Shoe', 'Walking shoe', 'Sportswear', 'Sneakers', 'Font', 'Athletic shoe', 'Outdoor shoe', 'Electric blue', 'Logo', Texts: 'mmm\nBata', 'mmm', 'Bata', Logos: , Objects: 'Shoe'"
SPARX Mens Sx0675g Walking Shoe,https://m.media-amazon.com/images/I/71u2XOFXAIL._SX695_.jpg,"Labels: 'Footwear', 'Shoe', 'Outdoor shoe', 'Sneakers', 'Walking shoe', 'Grey', 'Sportswear', 'Font', 'Synthetic rubber', 'Electric blue', Texts: 'parx\nCUSHIONED foam', 'parx', 'CUSHIONED', 'foam', Logos: , Objects: 'Shoe'"
Campus Stack Sneakers for Men,https://m.media-amazon.com/images/I/61U0BBQYhrL._SY695_.jpg,"Labels: 'Footwear', 'Shoe', 'Outdoor shoe', 'Walking shoe', 'Cleat', 'Grey', 'Sneakers', 'Sportswear', 'Font', 'Athletic shoe', Texts: , Logos: , Objects: 'Shoe'"
ADIDAS Mens Regular Fit M Sereno Bos T2 Jerseys,https://m.media-amazon.com/images/I/71IQc8cAIQL._SX569_.jpg,"Labels: 'Hair', 'Outerwear', 'Arm', 'Shoulder', 'White', 'Neck', 'Human body', 'Sleeve', 'Standing', 'Gesture', Texts: 'adidas', 'adidas', Logos: 'Adidas', Objects: 'Person', 'Top', 'Top', 'Person'"
adidas Men's Regular Fit M D2M Polo,https://m.media-amazon.com/images/I/71fKZrHSO9L._SX569_.jpg,"Labels: 'Joint', 'Arm', 'Shoulder', 'Jersey', 'Human body', 'Neck', 'Sleeve', 'Gesture', 'Collar', 'Elbow', Texts: , Logos: , Objects: 'Person', 'Top', 'Top', 'Person', 'Shirt'"
Puma Men's Solid Regular Fit T-Shirt,https://m.media-amazon.com/images/I/71FAiQfnqSL._SX569_.jpg,"Labels: 'Arm', 'Shoulder', 'White', 'Human body', 'Neck', 'Sleeve', 'Gesture', 'Elbow', 'Grey', 'Collar', Texts: , Logos: 'Puma', Objects: 'Person', 'Top', 'Top', 'Person'"
Puma Men's Regular fit T-Shirt,https://m.media-amazon.com/images/I/61z4pzDQROL._SX569_.jpg,"Labels: 'Arm', 'Shoulder', 'Jersey', 'Azure', 'Human body', 'Sleeve', 'Waist', 'Gesture', 'Elbow', 'Collar', Texts: , Logos: , Objects: 'Outerwear', 'Person'"
Puma Men's T-Shirt,https://m.media-amazon.com/images/I/71N-eWQzzjL._SX569_.jpg,"Labels: 'Shoulder', 'White', 'Jersey', 'Human body', 'Neck', 'Sleeve', 'Dress shirt', 'Gesture', 'Waist', 'Elbow', Texts: , Logos: 'Puma', Objects: 'Person', 'Top', 'Top', 'Person', 'Pants'"
Reebok Men's Regular Fit T-Shirt,https://m.media-amazon.com/images/I/51-FneXbwrL._SY741_.jpg,"Labels: 'Polo shirt', 'Arm', 'Shoulder', 'Jersey', 'Sports uniform', 'Sleeve', 'Gesture', 'Collar', 'Elbow', 'Sportswear', Texts: 'Reebok\nX', 'Reebok', 'X', Logos: 'Reebok', Objects: 'Person', 'Top', 'Person', 'Top', 'Pants'"
Dennis Lingo Men's Cotton Buffalo Check Slim Fit Casual Shirt with Pocket,https://m.media-amazon.com/images/I/51oqHcH9mcL._SY741_.jpg,"Labels: 'Face', 'Arm', 'Tartan', 'Shirt', 'Shoulder', 'Dress shirt', 'Neck', 'Human body', 'Sleeve', 'Jersey', Texts: 'о\nо', 'о', 'о', Logos: , Objects: 'Top', 'Person', 'Person', 'Shirt'"
